Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
3856,0.705696,0.708515,0,0.708515,-0.705696,0,2.42892,1.56478,0,V,L
12080,0.728784,0.684744,0,-0.684744,0.728784,0,4.24269,2.23228,0,G,U
2056,-0.407513,0.913199,0,0.913199,0.407513,0,7.89169,5.32422,0,G,L
3084,-0.522125,0.852869,0,0.852869,0.522125,0,4.63567,2.92512,0,V,U
19018,0.677941,0.735116,0,0.735116,-0.677941,0,11.3382,9.18711,0,G,C
23902,-0.457683,0.889115,0,0.889115,0.457683,0,8.04068,4.9877,0,V,C
