Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
24672,0.882512,-0.47029,0,0.47029,0.882512,0,11.8188,8.13335,0,V,C
5912,-0.149654,0.988738,0,0.988738,0.149654,0,16.5699,1.74932,0,G,C
9252,-0.320317,0.94731,0,0.94731,0.320317,0,8.8887,3.82855,0,V,U
19018,0.231753,0.972775,0,0.972775,-0.231753,0,3.05804,1.02633,0,G,U
9766,0.862136,0.506677,0,-0.506677,0.862136,0,8.51159,2.39673,0,V,L
39835,0.998565,0.0535585,0,-0.0535585,0.998565,0,4.03338,2.41187,0,G,L
