Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
24672,-0.0216043,0.999767,0,0.999767,0.0216043,0,40.0637,8.03698,0,V,U
6168,0.165722,0.986172,0,0.986172,-0.165722,0,49.634,33.268,0,V,C
30584,0.934583,-0.355744,0,0.355744,0.934583,0,3.25055,1.54188,0,G,L
9252,0.99034,-0.138659,0,0.138659,0.99034,0,1.89615,1.17314,0,G,U
23644,0.995139,0.0984807,0,-0.0984807,0.995139,0,34.4433,17.2543,0,V,L
4626,-0.359558,0.933123,0,0.933123,0.359558,0,3.6029,3.08534,0,G,C
