,Strain,SOK5,Orientation,Normalized SOK5,Relative SOK5 (mean),Relative SOK5 (median),Normalized strain,Relative strain (mean),Relative strain (median),Stage,Experiment
0,0.0575124684504602,0.3968075817994723,periclinal,0.309499313561601,0.8184371753937617,0.8179987904362483,0.3400014017998832,0.7361028591682749,0.7012322424961891,3,Control
1,0.0611861304625939,0.3232867241013444,anticlinal,0.2052410659726037,0.6667964158243271,0.6664392552172462,0.3773099118998624,0.7831221087954888,0.7460240992943461,3,Control
2,0.0427553639557254,0.3890632828233717,periclinal,0.2985173002209966,0.802464138410291,0.8020343091970056,0.1901330741557473,0.5472264797623697,0.5213033026262701,3,Control
3,0.0555530783960365,0.4828432863902779,anticlinal,0.4315045794352939,0.9958904859605324,0.9953570505039064,0.3201024771318491,0.71102459944222,0.6773419884555059,3,Control
4,0.0575659665794217,0.4673782112852297,anticlinal,0.4095739099658922,0.9639929291426176,0.963476579186884,0.3405447113036147,0.7367875824421962,0.7018845291038022,3,Control
5,0.0435550385546499,0.3919498157801575,periclinal,0.3026106266198538,0.8084177693089731,0.8079847511127004,0.1982543078871383,0.5574615257364365,0.5310534946694799,3,Control
6,0.0820162921284567,0.3480496075501155,anticlinal,0.2403567449030632,0.717871207017856,0.7174866888800562,0.5888542222714311,1.049727628820883,1.0,3,Control
7,0.0539219058405083,0.54909199014954,periclinal,0.5254503517675874,1.1325320333128934,1.131925407633815,0.3035368220547814,0.6901471999100579,0.6574535917333839,3,Control
8,0.0780375650519482,0.4293904935136644,anticlinal,0.3557043958066516,0.8856411993404207,0.8851668174437797,0.5484475711345819,0.998803847321382,0.9514885765589484,3,Control
9,0.0750929495757193,0.42770979621776,anticlinal,0.3533210373926622,0.882174669942686,0.8817021448462837,0.5185430192534916,0.9611156741373303,0.9155857650588022,3,Control
10,0.0457766352413722,0.5359497963244988,periclinal,0.506813707139479,1.1054255452164043,1.1048334387661558,0.220816117370673,0.5858957716847505,0.5581407553718137,3,Control
11,0.097838334014897,0.5325882386037292,anticlinal,0.5020467589820499,1.098492149958599,1.097903757289049,0.7495377058289474,1.2522341562623367,1.1929134014210157,3,Control
12,0.0501263624257254,0.5729747851553436,periclinal,0.5593179973962066,1.181791594323338,1.1811585834173786,0.2649905242849725,0.6415679885669446,0.611175671624069,3,Control
13,0.0931926787690977,0.6137771065632213,anticlinal,0.6171788366292705,1.2659485968965591,1.265270508414572,0.7023579502917041,1.192774352131541,1.1362703232564593,3,Control
14,0.0888484004826053,0.6095988288170884,anticlinal,0.6112537164743813,1.257330672256491,1.2566571998509002,0.6582388806022775,1.1371718757665372,1.083301843778159,3,Control
15,0.0565500503429646,0.5460891136310714,periclinal,0.5211920412235626,1.1263384375033414,1.1257351293412543,0.3302273982129148,0.7237848568336491,0.6894977677653847,3,Control
16,0.0983910477650568,0.6212470851647239,anticlinal,0.627771842517718,1.2813558332178532,1.2806694920552169,0.7551508859370051,1.2593083470031623,1.1996524740590977,3,Control
17,0.0950001537869327,0.4275599081314159,anticlinal,0.3531084845239121,0.8818655176289719,0.8813931581258833,0.7207140755246817,1.2159082492559468,1.1583083229139428,3,Control
