Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation,Specific tissue
16448,0.536132,0.844134,0,0.844134,-0.536132,0,0.336913,0.161294,0,A,L,
3856,0.17598,0.984394,0,0.984394,-0.17598,0,5.47851,0.748839,0,B,L,
26512,0.832742,-0.553662,0,0.553662,0.832742,0,23.9171,10.5031,0,G,L,V
19792,0.861313,0.508075,0,-0.508075,0.861313,0,32.1653,9.71585,0,G,U,E
22920,-0.398436,0.917196,0,0.917196,0.398436,0,2.04135,0.964983,0,B,U,
9764,0.976745,0.214405,0,-0.214405,0.976745,0,40.1552,15.7059,0,A,U,
12052,0.869148,0.494553,0,-0.494553,0.869148,0,1.04433,0.413012,0,V,C,
6804,0.936323,-0.351141,0,0.351141,0.936323,0,2.69318,2.5827,0,V,L,
4500,0.0664512,0.99779,0,0.99779,-0.0664512,0,1.17536,0.965423,0,V,L,
13108,0.131697,0.99129,0,0.99129,-0.131697,0,0.336163,0.194914,0,A,U,
29556,0.976502,-0.215511,0,0.215511,0.976502,0,18.3852,10.69,0,G,U,E
11308,-0.57189,0.82033,0,0.82033,0.57189,0,0.477726,0.256831,0,B,L,
8796,0.668913,0.743341,0,0.743341,-0.668913,0,0.076333,0.0501809,0,B,L,
15932,0.304808,0.952414,0,0.952414,-0.304808,0,138.232,29.9995,0,V,U,
13500,0.584536,0.811368,0,0.811368,-0.584536,0,7.1708,2.07236,0,V,L,
25282,-0.0783938,0.996922,0,0.996922,0.0783938,0,2.95207,0.694081,0,V,C,
15010,0.937785,0.347216,0,-0.347216,0.937785,0,22.0337,12.9354,0,G,U,V
27666,0.999674,0.0255258,0,-0.0255258,0.999674,0,35.6509,7.39801,0,G,L,V
2314,0.970622,0.240608,0,-0.240608,0.970622,0,6.33551,0.986522,0,B,L,
16010,-0.365826,0.930683,0,0.930683,0.365826,0,3.26289,0.734062,0,B,U,
10538,0.874888,-0.484326,0,0.484326,0.874888,0,12.2653,5.9851,0,V,C,
12010,0.667642,0.744482,0,0.744482,-0.667642,0,0.682246,0.332232,0,B,L,
12778,0.629111,0.777316,0,0.777316,-0.629111,0,2.61144,0.761394,0,V,U,
6682,0.928718,-0.370787,0,0.370787,0.928718,0,30.2586,14.567,0,A,L,
22042,0.988028,0.154272,0,-0.154272,0.988028,0,36.1267,14.5633,0,G,L,E
8282,0.853796,0.520608,0,-0.520608,0.853796,0,7.89581,2.47559,0,V,L,
27782,0.213321,0.976982,0,0.976982,-0.213321,0,1.0803,0.573717,0,V,C,
20022,0.379589,0.925155,0,0.925155,-0.379589,0,19.6235,3.0665,0,V,L,
3342,0.90154,-0.432696,0,0.432696,0.90154,0,34.4356,4.24841,0,G,L,E
32014,0.897806,0.440392,0,-0.440392,0.897806,0,26.5896,10.6067,0,G,C,V
24750,0.930722,0.365728,0,-0.365728,0.930722,0,0.292955,0.186822,0,B,L,
9886,0.503505,0.863993,0,0.863993,-0.503505,0,125.403,23.7311,0,G,U,V
39321,0.816928,-0.57674,0,0.57674,0.816928,0,29.87,6.18552,0,G,U,CE
55769,0.497443,0.867497,0,0.867497,-0.497443,0,128.536,61.625,0,G,L,CE
42661,0.999858,-0.0168268,0,0.0168268,0.999858,0,70.6293,25.2954,0,G,U,CE
59109,0.999724,-0.0235097,0,0.0235097,0.999724,0,94.3652,78.3444,0,G,L,CE
49085,0.967422,-0.25317,0,0.25317,0.967422,0,102.157,52.1185,0,A,C,
46003,-0.241207,0.970474,0,0.970474,0.241207,0,71.8066,49.7325,0,G,U,CE
35979,0.827235,0.561856,0,-0.561856,0.827235,0,27.0433,7.89228,0,B,U,
52427,0.431743,0.901997,0,0.901997,-0.431743,0,87.5547,51.4154,0,G,L,CE
32895,-0.665786,0.746143,0,0.746143,0.665786,0,58.5336,7.41248,0,B,U,
65535,-0.0943204,0.995542,0,0.995542,0.0943204,0,23.5111,11.0676,0,G,L,E
