Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation,Specific tissue
19744,0.930784,0.365569,0,-0.365569,0.930784,0,0.733017,0.207524,0,A,U,
8624,0.759442,-0.650575,0,0.650575,0.759442,0,0.605561,0.506274,0,A,,
15280,0.413272,0.910607,0,0.910607,-0.413272,0,5.67456,1.78352,0,V,,
21512,0.274927,0.961465,0,0.961465,-0.274927,0,3.76951,1.82701,0,,,
9992,0.173386,0.984854,0,0.984854,-0.173386,0,11.4795,2.42094,0,,,
13384,0.178627,0.983917,0,0.983917,-0.178627,0,4.87999,2.52789,0,G,L,CE
14760,0.0871564,0.996195,0,0.996195,-0.0871564,0,4.26227,2.20057,0,,,
16280,-0.693405,0.720549,0,0.720549,0.693405,0,0.801734,0.400004,0,,,
11736,1,0,0,0,1,0,0,0,0,V,,
5080,0.929281,-0.369372,0,0.369372,0.929281,0,1.88571,1.35766,0,,,
20088,1,0,0,0,1,0,0,0,0,,,
4600,-0.230666,0.973033,0,0.973033,0.230666,0,4.06178,2.49076,0,G,U,CE
14468,0.804682,-0.593706,0,0.593706,0.804682,0,18.4121,4.72711,0,V,L,
24612,0.625704,0.78006,0,0.78006,-0.625704,0,0.101722,0.0782572,0,A,U,
13028,0.999099,-0.0424489,0,0.0424489,0.999099,0,0.614032,0.158681,0,A,,
12724,0.722524,0.691346,0,-0.691346,0.722524,0,2.65837,1.75728,0,G,U,E
12012,0.971411,0.237404,0,-0.237404,0.971411,0,0.545821,0.408422,0,G,U,CE
20460,-0.668904,0.743349,0,0.743349,0.668904,0,0.421078,0.209661,0,G,L,CE
10140,0.391097,0.92035,0,0.92035,-0.391097,0,0.240682,0.155316,0,G,U,E
11132,-0.643958,0.765061,0,0.765061,0.643958,0,2.72668,1.43874,0,G,U,CE
15868,1,0,0,0,1,0,0,0,0,,,
24098,0.999712,0.0239898,0,-0.0239898,0.999712,0,1.29216,0.229572,0,A,L,
23330,0.799766,-0.600311,0,0.600311,0.799766,0,0.381763,0.171425,0,,,
27026,-0.247431,0.968905,0,0.968905,0.247431,0,1.46274,1.11084,0,,,
11474,0.247489,0.968891,0,0.968891,-0.247489,0,3.53014,1.50997,0,G,L,V
12298,0.875543,-0.483141,0,0.483141,0.875543,0,0.172826,0.113676,0,A,L,
5898,0.7289,-0.68462,0,0.68462,0.7289,0,1.1151,0.386379,0,G,CE,
9546,-0.691135,0.722726,0,0.722726,0.691135,0,1.84886,1.36301,0,,,
9674,0.815965,0.578101,0,-0.578101,0.815965,0,0.153783,0.0886459,0,A,,
10986,-0.16309,0.986611,0,0.986611,0.16309,0,0.145861,0.0540771,0,G,L,E
22746,0.931057,0.364874,0,-0.364874,0.931057,0,0.973391,0.446857,0,G,U,CE
20442,-0.585135,0.810936,0,0.810936,0.585135,0,4.21873,2.62625,0,G,V,
8742,0.159033,0.987273,0,0.987273,-0.159033,0,2.88444,1.50692,0,G,U,E
10086,0.921056,0.38943,0,-0.38943,0.921056,0,0.0779709,0.0530862,0,G,L,E
4246,0.239397,0.970922,0,0.970922,-0.239397,0,0.483674,0.275296,0,G,U,E
11158,-0.542741,0.8399,0,0.8399,0.542741,0,0.705051,0.434245,0,G,L,CE
16854,1,0,0,0,1,0,0,0,0,,,
12278,0.965313,-0.261093,0,0.261093,0.965313,0,0.884578,0.515601,0,G,L,CE
15054,-0.0781801,0.996939,0,0.996939,0.0781801,0,7.69512,1.37539,0,G,U,V
22462,0.922572,0.385825,0,-0.385825,0.922572,0,1.38695,0.51122,0,,,
33401,-0.261715,0.965145,0,0.965145,0.261715,0,1.39548,1.1697,0,G,CE,
34383,0.952483,0.30459,0,-0.30459,0.952483,0,0.475694,0.160365,0,A,,
