Label,Tissue,Orientation,Specific tissue,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal
24894,V,,,0.941003,0.338399,0,-0.338399,0.941003,0,6.0735,4.62497,0
8126,G,L,V,-0.384249,0.923229,0,0.923229,0.384249,0,9.94082,4.61419,0
28798,G,U,V,-0.0107649,0.999942,0,0.999942,0.0107649,0,1.80284,0.518165,0
22654,V,,,0.991269,0.131857,0,-0.131857,0.991269,0,1.69341,1.14477,0
7294,G,L,V,-0.415142,0.909757,0,0.909757,0.415142,0,3.41221,1.42484,0
35025,G,L,E,0.998457,-0.0555286,0,0.0555286,0.998457,0,2.96186,1.74786,0
45253,G,L,CE,-0.303113,0.952955,0,0.952955,0.303113,0,2.72763,1.18577,0
47637,G,U,CE,0.160728,0.986999,0,0.986999,-0.160728,0,5.34311,0.728061,0
37045,G,U,V,0.40186,0.915701,0,0.915701,-0.40186,0,13.6104,6.14265,0
44981,V,,,0.985411,-0.170194,0,0.170194,0.985411,0,2.20832,1.33014,0
47373,G,U,V,0.113753,0.993509,0,0.993509,-0.113753,0,12.0312,5.20529,0
60173,G,U,V,0.503385,0.864062,0,0.864062,-0.503385,0,1.45449,0.790178,0
34173,V,,,0.893251,-0.449558,0,0.449558,0.893251,0,2.79975,1.40984,0
49251,G,U,V,-0.219157,0.97569,0,0.97569,0.219157,0,1.13951,0.403708,0
49051,V,,,-0.310439,0.950593,0,0.950593,0.310439,0,4.01238,1.84868,0
41787,G,U,CE,0.279509,0.960143,0,0.960143,-0.279509,0,7.05717,1.18583,0
52411,G,U,CE,0.496222,0.868196,0,0.868196,-0.496222,0,5.89153,1.69517,0
54715,G,U,V,-0.165069,0.986282,0,0.986282,0.165069,0,9.43882,4.21901,0
35415,G,U,CE,0.0586982,0.998276,0,0.998276,-0.0586982,0,3.21197,0.362945,0
37367,V,,,0.98554,0.169441,0,-0.169441,0.98554,0,3.25601,1.33082,0
40463,V,,,0.00371667,0.999993,0,0.999993,-0.00371667,0,1.88369,0.449869,0
51023,V,,,-0.125456,0.992099,0,0.992099,0.125456,0,6.15576,1.78363,0
43823,G,U,V,0.275037,0.961434,0,0.961434,-0.275037,0,6.90527,2.2182,0
37215,G,U,E,0.791518,-0.611145,0,0.611145,0.791518,0,2.58259,1.75007,0
