edge_id,strain,orientation,zone,o_x,d_x,o_y,d_y,normalized_strain,relative_strain_mean,relative_strain_median,stage
104,0.099453472798378,periclinal,ground,1204,1206,1538,1491,0.9296072145802188,2.304739902368523,2.563921126582788,V
105,0.0799835632772785,periclinal,boundary,1206,1219,1491,1431,0.6947398797212588,1.8535432160571876,2.0619847843999093,V
106,0.0542999189502072,anticlinal,boundary,1219,1249,1431,1426,0.3849156822319197,1.2583491192271414,1.399857696778589,V
107,0.0456105815959386,anticlinal,boundary,1249,1294,1426,1421,0.2800953951178055,1.056981967713748,1.1758456538428943,V
108,0.0462890438711781,anticlinal,ground,1120,1206,1513,1491,0.2882797488363044,1.0727046874338149,1.1933364835960445,V
109,0.0586162223282234,anticlinal,ground,1091,1145,1476,1439,0.4369836525395775,1.3583753560807248,1.5111324578125434,V
110,0.039182215672099,anticlinal,boundary,1145,1219,1439,1431,0.2025494172901128,0.9080106846119996,1.01012169531456,V
111,0.0263749253970069,periclinal,boundary,1249,1236,1426,1323,0.0480538799371426,0.6112138799588127,0.6799483872677183,V
112,0.0457994781076262,anticlinal,provascular,1236,1253,1323,1317,0.2823740713600419,1.0613594652073473,1.180715426043162,V
113,0.0423610553070092,anticlinal,provascular,1253,1297,1317,1312,0.2408960563531392,0.9816772780819016,1.0920725198422063,V
114,0.03527957276108,periclinal,boundary,1219,1207,1431,1332,0.1554714717853356,0.8175706367319621,0.9095111451997776,V
115,0.0437885731267691,anticlinal,boundary,1207,1236,1332,1323,0.2581163369829658,1.014758649581241,1.128874081353041,V
116,0.0261563227417492,periclinal,ground,1145,1125,1439,1389,0.0454168557137981,0.606147970763691,0.6743127875207037,V
117,0.0319226027471848,periclinal,ground,1125,1114,1389,1346,0.1149760293432137,0.739776040682371,0.8229681005201844,V
118,0.0355299779165869,anticlinal,boundary,1114,1207,1346,1332,0.1584921325359738,0.823373538706292,0.9159666167921182,V
119,0.0384874661552593,anticlinal,ground,1054,1125,1436,1389,0.1941685890567887,0.8919105235159873,0.9922109787373748,V
120,0.0597746573251908,anticlinal,ground,1022,1085,1389,1348,0.4509579619759011,1.3852209883818056,1.5409970354781095,V
121,0.0393061579858123,anticlinal,ground,1085,1114,1348,1346,0.2040445449827473,0.9108829301753688,1.0133169413694785,V
122,0.0309056853304687,periclinal,provascular,1253,1228,1317,1238,0.1027088596793316,0.7162099440768711,0.7967518611537213,V
123,0.0368851985268651,anticlinal,provascular,1228,1303,1238,1239,0.1748402851833722,0.8547794909484272,0.9509043485384682,V
124,0.0362712476725473,periclinal,boundary,1207,1169,1332,1266,0.1674341387535827,0.8405517622203592,0.935076630091066,V
125,0.0388968085190053,anticlinal,boundary,1169,1228,1266,1238,0.1991065241773242,0.901396644542327,1.0027638684945916,V
126,0.0366143033208934,periclinal,ground,1085,1073,1348,1308,0.1715724510425049,0.8485017514890009,0.9439206412617102,V
127,0.0356422282465826,anticlinal,boundary,1073,1169,1308,1266,0.1598462187383036,0.8259748336366322,0.9188604422608913,V
128,0.0677978259242421,anticlinal,ground,979,1044,1344,1290,0.5477421932503809,1.571150310841477,1.747835176916835,V
129,0.0436461243297773,periclinal,ground,1044,1073,1290,1308,0.2563979638561126,1.0114575338209408,1.125201736187137,V
130,0.0434931563074066,periclinal,provascular,1228,1208,1238,1177,0.2545526963321969,1.0079126449897688,1.121258204270026,V
131,0.0336553961842721,anticlinal,provascular,1208,1269,1177,1174,0.1358788782233664,0.7799318850651377,0.867639699976132,V
132,0.0341523289307771,anticlinal,provascular,1269,1305,1174,1173,0.141873424302242,0.7914478301340995,0.8804506791345763,V
133,0.0362868885324973,periclinal,boundary,1169,1111,1266,1205,0.1676228159062621,0.8409142243146421,0.9354798531272804,V
134,0.0382427236173516,anticlinal,boundary,1111,1125,1205,1189,0.1912162369905034,0.8862388473336339,0.9859014900301556,V
135,0.0377437254647742,anticlinal,boundary,1125,1184,1189,1176,0.1851967757254989,0.8746750384379423,0.9730372644830728,V
136,0.0529583546709568,anticlinal,provascular,1184,1208,1176,1177,0.3687322671796785,1.227259639503803,1.3652720267013636,V
137,0.0427075310083585,periclinal,ground,1044,1023,1290,1228,0.2450756250604875,0.9897065238350352,1.101004700343715,V
