Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
5616,-0.0214526,0.99977,0,0.99977,0.0214526,0,13.2516,5.53821,0,G,C
7880,0.993176,0.116625,0,-0.116625,0.993176,0,11.7149,3.24447,0,V,C
5400,-0.106732,0.994288,0,0.994288,0.106732,0,12.7329,1.7965,0,V,U
7628,-0.377476,0.926019,0,0.926019,0.377476,0,26.4753,4.23065,0,V,U
19036,0.123185,0.992384,0,0.992384,-0.123185,0,31.9194,7.36359,0,G,C
22370,-0.128824,0.991667,0,0.991667,0.128824,0,13.0837,5.39255,0,V,C
2930,0.775675,-0.631132,0,0.631132,0.775675,0,12.0296,6.27799,0,V,C
31146,0.130941,0.99139,0,0.99139,-0.130941,0,34.255,2.73519,0,G,U
22598,-0.00545023,0.999985,0,0.999985,0.00545023,0,19.5556,1.6976,0,G,U
