Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
7968,-0.141907,0.98988,0,0.98988,0.141907,0,9.12473,3.99446,0,G,U
12080,0.0539976,0.998541,0,0.998541,-0.0539976,0,9.51998,0.988971,0,G,U
26728,-0.0653522,0.997862,0,0.997862,0.0653522,0,9.22078,1.38877,0,V,L
6168,0.0568982,0.99838,0,0.99838,-0.0568982,0,2.29135,0.89213,0,V,L
22616,0.0599174,0.998203,0,0.998203,-0.0599174,0,5.55607,2.34978,0,G,U
15420,-0.351112,0.936333,0,0.936333,0.351112,0,3.24743,2.05502,0,V,U
8482,-0.14329,0.989681,0,0.989681,0.14329,0,2.26032,0.918417,0,V,U
34181,0.123122,0.992392,0,0.992392,-0.123122,0,6.10165,1.46343,0,G,C
