Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue ,Orientation
4112,0.515197,0.857072,0,0.857072,-0.515197,0,4.57414,1.85835,0,V,L
2056,0.794398,0.607397,0,-0.607397,0.794398,0,13.4261,5.11823,0,V,L
13364,-0.399927,0.916547,0,0.916547,0.399927,0,12.8088,4.35309,0,V,U
27756,0.0242987,0.999705,0,0.999705,-0.0242987,0,8.47312,2.45039,0,G,L
20818,0.108292,0.994119,0,0.994119,-0.108292,0,19.3959,3.90017,0,G,U
29298,-0.167692,0.985839,0,0.985839,0.167692,0,2.62248,1.04597,0,G,L
2314,0.746736,0.66512,0,-0.66512,0.746736,0,2.51727,1.73756,0,G,U
5398,-0.688756,0.724994,0,0.724994,0.688756,0,3.5793,1.47364,0,V,U
