Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
1800,0.0170402,0.999855,0,0.999855,-0.0170402,0,15.205,1.12161,0,G,C
22616,0.0319601,0.999489,0,0.999489,-0.0319601,0,16.1539,1.60978,0,G,U
13108,-0.0342905,0.999412,0,0.999412,0.0342905,0,3.53532,0.79013,0,G,L
27500,-0.0734967,0.997295,0,0.997295,0.0734967,0,4.0122,0.875353,0,V,U
5398,0.191133,0.981564,0,0.981564,-0.191133,0,1.31006,0.533661,0,V,L
7710,-0.104965,0.994476,0,0.994476,0.104965,0,8.00863,1.22773,0,V,C
