Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
23920,0.999715,0.0238809,0,-0.0238809,0.999715,0,8.01663,2.85586,0,G,C
23280,-0.167701,0.985838,0,0.985838,0.167701,0,13.6308,6.70264,0,V,U
13092,-0.562611,0.826722,0,0.826722,0.562611,0,16.9149,4.43724,0,G,U
6700,0.500791,0.865568,0,0.865568,-0.500791,0,12.8271,4.87729,0,,
24714,-0.467905,0.883779,0,0.883779,0.467905,0,20.9093,5.63975,0,,
7994,-0.533169,0.846009,0,0.846009,0.533169,0,12.6631,6.71217,0,V,C
6486,-0.547194,0.837006,0,0.837006,0.547194,0,55.2509,17.0738,0,V,L
32374,0.725426,0.6883,0,-0.6883,0.725426,0,20.0931,3.50591,0,G,L
