Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue,Orientation
5384,-0.175342,0.984508,0,0.984508,0.175342,0,15.3733,4.01011,0,V,C
13092,0.676263,0.73666,0,0.73666,-0.676263,0,2.48789,1.44306,0,G,C
7426,-0.190464,0.981694,0,0.981694,0.190464,0,6.97179,2.49367,0,V,U
11466,0.977263,-0.21203,0,0.21203,0.977263,0,51.5851,16.0433,0,,
19686,0.924665,-0.380781,0,0.380781,0.924665,0,0.829554,0.676483,0,G,U
30094,0.712419,0.701754,0,-0.701754,0.712419,0,77.4279,26.3415,0,,
