Label,xMax,yMax,zMax,xMin,yMin,zMin,signalMax,signalMin,signalNormal,Tissue ,Orientation
4112,-0.657637,0.753335,0,0.753335,0.657637,0,4.751,2.40356,0,V,U
18248,0.0814587,0.996677,0,0.996677,-0.0814587,0,12.1201,5.57838,0,G,U
22616,0.0423622,0.999102,0,0.999102,-0.0423622,0,6.38375,4.50401,0,G,U
4626,-0.0551123,0.99848,0,0.99848,0.0551123,0,28.1016,8.5413,0,G,L
20818,-0.241441,0.970416,0,0.970416,0.241441,0,2.71817,1.03378,0,G,L
26214,0.423801,0.905755,0,0.905755,-0.423801,0,7.98779,3.76224,0,V,L
